"sciname","localityID","aphiaID","Count","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified","country","verbatimLocality","larva_other","adult","larva"
"actinia equina","NW01",100803,4.00004342727686,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","North Wales","Little Orme","macrobenthos",NA,NA
"actinia equina","NW02",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","North Wales","Great Orme East","macrobenthos",NA,NA
"actinia equina","NW03",100803,0,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","North Wales","Menai Bridge","macrobenthos",NA,NA
"actinia equina","NW04",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","North Wales","Porth Swtan","macrobenthos",NA,NA
"actinia equina","NW05",100803,0,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","North Wales","Rhosneigr","macrobenthos",NA,NA
"actinia equina","NW06",100803,5.0000043429231,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","North Wales","Porth Oer","macrobenthos",NA,NA
"actinia equina","SCH01",100803,4.00004342727686,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Scourie","macrobenthos",NA,NA
"actinia equina","SCH02",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Rispond","macrobenthos",NA,NA
"actinia equina","SCH03",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Skerray","macrobenthos",NA,NA
"actinia equina","SCH04",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Murkle Bay","macrobenthos",NA,NA
"actinia equina","SCH05",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Portskerra","macrobenthos",NA,NA
"actinia equina","SCH07",100803,2.00432137378264,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Sannick","macrobenthos",NA,NA
"actinia equina","SCH08",100803,4.00004342727686,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","Scotland","Wick","macrobenthos",NA,NA
"actinia equina","SW01",100803,3.00043407747932,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","South Wales","Aberystwyth","macrobenthos",NA,NA
"actinia equina","SW02",100803,0,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803","Actinia equina","(Linnaeus, 1758)","accepted",NA,220,"Species",100803,"Actinia equina","(Linnaeus, 1758)",100694,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Actiniidae","Actinia","Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Actinia equina (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100803 on 2024-09-11","urn:lsid:marinespecies.org:taxname:100803",1,NA,NA,0,NA,"exact","2015-10-13T10:34:41.473Z","South Wales","Neyland","macrobenthos",NA,NA
